Asparagus,Asparagus
BBQ sauce,BBQ sauce
Butter,Butter
Margarine,Margarine
Bagel,Bagels
Croissant,Croissants
Antiperspirant,Antiperspirant
Deodorant,Deodorant
Air freshener,Air fresheners
Broccoli,Broccoli
Gravy,Gravy
Cottage cheese,Cottage cheese
Bun,Buns
Roll,Rolls
Bath soap,Bath soaps
Hand soap,Hand soaps
Bathroom cleaner,Bathroom cleaners
Carrots,Carrots
Honey,Honey
Half and half,Half and half
Cake,Cakes
Cookie,Cookies
Condom,Condoms
Bleach,Bleach
Detergent,Detergents
Cauliflower,Cauliflowers
Hot sauce,Hot sauces
Milk,Milks
Donut,Donuts
Pastrie,Pastries
Cosmetic,Cosmetics
Dish,Dishes
Dishwasher soap,Dishwasher soaps
Celery,Celeries
Jam,Jams
Jelly,Jellies
Preserve,Preserves
Sour cream,Sour creams
bread,bread
Cotton swab,Cotton swabs
Ball,Balls
Garbage bag,Garbage bags
Corn,Corn
Ketchup,Ketchups
Mustard,Mustards
Whipped cream,Whipped creams
Pie,Pies
Facial cleanser,Facial cleansers
Glass cleaner,Glass cleaners
Cucumber,Cucumbers
Mayonnaise,Mayonnaise
Yogurt,Yogurts
Pita bread,Pita breads
Facial tissue,Facial tissues
Mop head,Mop heads
Vacuum bag,Vacuum bags
Lettuce,Lettuce
Greens,Greens
Pasta sauce,Pasta sauces
Sliced bread,Sliced bread
tampon,tampons
pad,pads
Sponge,Sponges
Scrubber,Scrubbers
Mushroom,Mushrooms
Relish,Relish
Floss,Floss
Onion,Onions
Salad dressing,Salad dressing
Hair gel,Hair gel
Spray,Sprays
Pepper,Peppers
Salsa,Salsas
Lip balm,Lip balm
Potato,Potatoes
Soy sauce,Soy sauce
Bleu cheese,Bleu cheese
Moisturizing lotion,Moisturizing lotions
Spinach,Spinach
Steak sauce,Steak sauces
# TODO normalize rest
Cheddar,Cheddar
Baking powder,Baking powder
Soda,Soda
Mouthwash,Mouthwash
CDRs,CDRs
DVDRs,DVDRs
Squash,Squash
Syrup,Syrup
Cottage cheese,Cottage cheese
Bread crumbs,Bread crumbs
Razors,Razors
Shaving cream,Shaving cream
Notepad,Notepad
Envelopes,Envelopes
Zucchini,Zucchini
Worcestershire sauce,Worcestershire sauce
Cream cheese,Cream cheese
Cake,Cake
Brownie mix,Brownie mix
Shampoo,Shampoo
Conditioner,Conditioner
Glue,Glue
Tape,Tape
Tomatoes*,Tomatoes*
Feta,Feta
Cake icing,Cake icing
Decorations,Decorations
Sunblock,Sunblock
Printer paper,Printer paper
Goat cheese,Goat cheese
Chocolate chips,Chocolate chips
Cocoa,Cocoa
Toilet paper,Toilet paper
Pens,Pens
Pencils,Pencils
Mozzarella,Mozzarella
Flour,Flour
Toothpaste,Toothpaste
Postage stamps,Postage stamps
Parmesan,Parmesan
Shortening,Shortening
Vitamins,Vitamins
Supplements,Supplements
Bouillon cubes,Bouillon cubes
Provolone,Provolone
Sugar,Sugar
Apple,Apples
Cereal,Cereal
Ricotta,Ricotta
Sugar substitute,Sugar substitute
Avocados,Avocados
Coffee,Coffee
Filters,Filters
Sandwich slices,Sandwich slices
Yeast,Yeast
Bananas,Bananas
Instant potatoes,Instant potatoes
Swiss,Swiss
Arsenic,Arsenic
Berries,Berries
Lemon,Lemon
Lime juice,Lime juice
Allergy,Allergy
Asbestos,Asbestos
Cherries,Cherries
Mac and cheese,Mac and cheese
Antibiotic,Antibiotic
Cigarettes,Cigarettes
Grapefruit,Grapefruit
Olive oil,Olive oil
Antidiarrheal,Antidiarrheal
Grapes,Grapes
Packaged meals,Packaged meals
Candy,Candy
Gum,Gum
Aspirin,Aspirin
Kiwis,Kiwis
Pancake,Pancake
Waffle mix,Waffle mix
Bacon,Bacon
Sausage,Sausage
Cookies,Cookies
Antacid,Antacid
Lemons,Lemons
Limes,Limes
Pasta,Pasta
Beef,Beef
Crackers,Crackers
Band-aids,Band-aids
Medical,Medical
Melon,Melon
Peanut butter,Peanut butter
Chicken,Chicken
Dried fruit,Dried fruit
Cold,Cold
Flu,Flu
Sinus,Sinus
Nectarines,Nectarines
Pickles,Pickles
Ground beef,Ground beef
Turkey,Turkey
Granola bars,Granola bars
Pain reliever,Pain reliever
Batteries,Batteries
Oranges,Oranges
Rice,Rice
Ham,Ham
Pork,Pork
Nuts,Nuts
Seeds,Seeds
Charcoal,Charcoal
Propane,Propane
Peaches,Peaches
Tea,Tea
Hot dogs,Hot dogs
Oatmeal,Oatmeal
Flowers,Flowers
Greeting card,Greeting card
Pears,Pears
Vegetable oil,Vegetable oil
Lunchmeat,Lunchmeat
Popcorn,Popcorn
Insect repellent,Insect repellent
Plums,Plums
Vinegar,Vinegar
Turkey,Turkey
Potato,Potato
Corn chips,Corn chips
Light bulbs,Light bulbs
Pretzels,Pretzels
Newspaper,Newspaper
Magazine,Magazine
Aluminum foil,Aluminum foil
Napkins,Napkins
Non-stick spray,Non-stick spray
Bagels,Bagels
Applesauce,Applesauce
Catfish,Catfish
Paper towels,Paper towels
Chip dip,Chip dip
Baked beans,Baked beans
Crab,Crab
Burger night,Burger night
Plastic wrap,Plastic wrap
Eggs,Eggs
Fake eggs,Fake eggs
Broth,Broth
Lobster,Lobster
Chili night,Chili night
Sandwich,Sandwich
Freezer bags,Freezer bags
English muffins,English muffins
Fruit,Fruit
Mussels,Mussels
Pizza night,Pizza night
Wax paper,Wax paper
Fruit juice,Fruit juice
Olives,Olives
Oysters,Oysters
Spaghetti night,Spaghetti night
Hummus,Hummus
Tinned meats,Tinned meats
Salmon,Salmon
Taco night,Taco night
Ready-bake breads,Ready-bake breads
Tuna,Tuna
Chicken,Chicken
Shrimp,Shrimp
Take-out deli food,Take-out deli food
